lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
MFL,1.MTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,2091,
MFL,1.MTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,925,
NACL,1.MTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,2898,
NACL,1.MTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,1497,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,21044,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,7478,
PYFL,1.MTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,4697,
PYFL,1.MTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,3058,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,6822,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,3041,
FULLERTON,1.MTD,Fresh,Flow1(Auto),7,Selfie uploaded,,18024,
FULLERTON,1.MTD,Fresh,Flow2(Manual),7,Selfie uploaded,,12539,
KSF,1.MTD,Fresh,Flow1(Auto),7,Selfie uploaded,,9594,
KSF,1.MTD,Fresh,Flow2(Manual),7,Selfie uploaded,,5985,
MFL,1.MTD,Fresh,Flow1(Auto),7,Selfie uploaded,,1901,
MFL,1.MTD,Fresh,Flow2(Manual),7,Selfie uploaded,,845,
NACL,1.MTD,Fresh,Flow1(Auto),7,Selfie uploaded,,2437,
NACL,1.MTD,Fresh,Flow2(Manual),7,Selfie uploaded,,1326,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),7,Selfie uploaded,,6550,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),7,Selfie uploaded,,3540,
PYFL,1.MTD,Fresh,Flow1(Auto),7,Selfie uploaded,,3640,
PYFL,1.MTD,Fresh,Flow2(Manual),7,Selfie uploaded,,2587,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),7,Selfie uploaded,,6189,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),7,Selfie uploaded,,2799,
FULLERTON,1.MTD,Fresh,Flow1(Auto),8,KYC completed,,14975,
FULLERTON,1.MTD,Fresh,Flow2(Manual),8,KYC completed,,10540,
KSF,1.MTD,Fresh,Flow1(Auto),8,KYC completed,,6281,
KSF,1.MTD,Fresh,Flow2(Manual),8,KYC completed,,4149,
MFL,1.MTD,Fresh,Flow1(Auto),8,KYC completed,,1471,
MFL,1.MTD,Fresh,Flow2(Manual),8,KYC completed,,608,
NACL,1.MTD,Fresh,Flow1(Auto),8,KYC completed,,1855,
NACL,1.MTD,Fresh,Flow2(Manual),8,KYC completed,,1006,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),8,KYC completed,,3994,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),8,KYC completed,,2207,
PYFL,1.MTD,Fresh,Flow1(Auto),8,KYC completed,,3469,
PYFL,1.MTD,Fresh,Flow2(Manual),8,KYC completed,,2495,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),8,KYC completed,,4294,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),8,KYC completed,,1903,
FULLERTON,1.MTD,Fresh,Flow1(Auto),9,BRE2 completed,,11108,
FULLERTON,1.MTD,Fresh,Flow2(Manual),9,BRE2 completed,,8858,
KSF,1.MTD,Fresh,Flow1(Auto),9,BRE2 completed,,4487,
KSF,1.MTD,Fresh,Flow2(Manual),9,BRE2 completed,,3310,
MFL,1.MTD,Fresh,Flow1(Auto),9,BRE2 completed,,1004,
MFL,1.MTD,Fresh,Flow2(Manual),9,BRE2 completed,,456,
NACL,1.MTD,Fresh,Flow1(Auto),9,BRE2 completed,,1314,
NACL,1.MTD,Fresh,Flow2(Manual),9,BRE2 completed,,801,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),9,BRE2 completed,,2118,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),9,BRE2 completed,,1465,
PYFL,1.MTD,Fresh,Flow1(Auto),9,BRE2 completed,,1863,
PYFL,1.MTD,Fresh,Flow2(Manual),9,BRE2 completed,,1634,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),9,BRE2 completed,,3444,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),9,BRE2 completed,,1614,
FULLERTON,1.MTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,10984,
FULLERTON,1.MTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,8705,
KSF,1.MTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,4345,
KSF,1.MTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,3189,
MFL,1.MTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,997,
MFL,1.MTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,450,
NACL,1.MTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,1280,
NACL,1.MTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,786,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,2098,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,1446,
PYFL,1.MTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,1838,
PYFL,1.MTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,1613,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,3409,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,1579,
FULLERTON,1.MTD,Fresh,Flow1(Auto),11,Review submit,,10119,
FULLERTON,1.MTD,Fresh,Flow2(Manual),11,Review submit,,8140,
KSF,1.MTD,Fresh,Flow1(Auto),11,Review submit,,4083,
KSF,1.MTD,Fresh,Flow2(Manual),11,Review submit,,3048,
MFL,1.MTD,Fresh,Flow1(Auto),11,Review submit,,969,
MFL,1.MTD,Fresh,Flow2(Manual),11,Review submit,,434,
NACL,1.MTD,Fresh,Flow1(Auto),11,Review submit,,1167,
NACL,1.MTD,Fresh,Flow2(Manual),11,Review submit,,729,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),11,Review submit,,1960,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),11,Review submit,,1361,
PYFL,1.MTD,Fresh,Flow1(Auto),11,Review submit,,1695,
PYFL,1.MTD,Fresh,Flow2(Manual),11,Review submit,,1533,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),11,Review submit,,3071,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),11,Review submit,,1426,
FULLERTON,1.MTD,Fresh,Flow1(Auto),12,Mandate done,,9235,
FULLERTON,1.MTD,Fresh,Flow2(Manual),12,Mandate done,,7229,
KSF,1.MTD,Fresh,Flow1(Auto),12,Mandate done,,3661,
KSF,1.MTD,Fresh,Flow2(Manual),12,Mandate done,,2602,
MFL,1.MTD,Fresh,Flow1(Auto),12,Mandate done,,881,
MFL,1.MTD,Fresh,Flow2(Manual),12,Mandate done,,374,
NACL,1.MTD,Fresh,Flow1(Auto),12,Mandate done,,1071,
NACL,1.MTD,Fresh,Flow2(Manual),12,Mandate done,,646,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),12,Mandate done,,1807,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),12,Mandate done,,1229,
PYFL,1.MTD,Fresh,Flow1(Auto),12,Mandate done,,1495,
PYFL,1.MTD,Fresh,Flow2(Manual),12,Mandate done,,1308,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),12,Mandate done,,2900,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),12,Mandate done,,1303,
FULLERTON,1.MTD,Fresh,Flow1(Auto),13,Application submitted by user,,9215,
FULLERTON,1.MTD,Fresh,Flow2(Manual),13,Application submitted by user,,7216,
KSF,1.MTD,Fresh,Flow1(Auto),13,Application submitted by user,,3635,
KSF,1.MTD,Fresh,Flow2(Manual),13,Application submitted by user,,2590,
MFL,1.MTD,Fresh,Flow1(Auto),13,Application submitted by user,,835,
MFL,1.MTD,Fresh,Flow2(Manual),13,Application submitted by user,,358,
NACL,1.MTD,Fresh,Flow1(Auto),13,Application submitted by user,,1062,
NACL,1.MTD,Fresh,Flow2(Manual),13,Application submitted by user,,642,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),13,Application submitted by user,,1805,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),13,Application submitted by user,,1228,
PYFL,1.MTD,Fresh,Flow1(Auto),13,Application submitted by user,,1695,
PYFL,1.MTD,Fresh,Flow2(Manual),13,Application submitted by user,,1533,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),13,Application submitted by user,,2897,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),13,Application submitted by user,,1299,
FULLERTON,1.MTD,Fresh,Flow1(Auto),14,Submit to LMS,,7004,
FULLERTON,1.MTD,Fresh,Flow2(Manual),14,Submit to LMS,,6268,
KSF,1.MTD,Fresh,Flow1(Auto),14,Submit to LMS,,2853,
KSF,1.MTD,Fresh,Flow2(Manual),14,Submit to LMS,,2154,
MFL,1.MTD,Fresh,Flow1(Auto),14,Submit to LMS,,708,
MFL,1.MTD,Fresh,Flow2(Manual),14,Submit to LMS,,325,
NACL,1.MTD,Fresh,Flow1(Auto),14,Submit to LMS,,771,
NACL,1.MTD,Fresh,Flow2(Manual),14,Submit to LMS,,515,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),14,Submit to LMS,,1496,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),14,Submit to LMS,,1104,
PYFL,1.MTD,Fresh,Flow1(Auto),14,Submit to LMS,,1150,
PYFL,1.MTD,Fresh,Flow2(Manual),14,Submit to LMS,,1077,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),14,Submit to LMS,,2383,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),14,Submit to LMS,,1140,
FULLERTON,1.MTD,Fresh,Flow1(Auto),15,Disbursed,,6718,
FULLERTON,1.MTD,Fresh,Flow2(Manual),15,Disbursed,,6058,
KSF,1.MTD,Fresh,Flow1(Auto),15,Disbursed,,2728,
KSF,1.MTD,Fresh,Flow2(Manual),15,Disbursed,,2080,
MFL,1.MTD,Fresh,Flow1(Auto),15,Disbursed,,425,
MFL,1.MTD,Fresh,Flow2(Manual),15,Disbursed,,222,
NACL,1.MTD,Fresh,Flow1(Auto),15,Disbursed,,733,
NACL,1.MTD,Fresh,Flow2(Manual),15,Disbursed,,490,
PIRAMAL,1.MTD,Fresh,Flow1(Auto),15,Disbursed,,1432,
PIRAMAL,1.MTD,Fresh,Flow2(Manual),15,Disbursed,,1071,
PYFL,1.MTD,Fresh,Flow1(Auto),15,Disbursed,,1102,
PYFL,1.MTD,Fresh,Flow2(Manual),15,Disbursed,,1037,
SHRIRAM,1.MTD,Fresh,Flow1(Auto),15,Disbursed,,2038,
SHRIRAM,1.MTD,Fresh,Flow2(Manual),15,Disbursed,,993,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),2,Workable leads,,95875,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),2,Workable leads,,31000,
KSF,2.LMTD,Fresh,Flow1(Auto),2,Workable leads,,46934,
KSF,2.LMTD,Fresh,Flow2(Manual),2,Workable leads,,14251,
MFL,2.LMTD,Fresh,Flow1(Auto),2,Workable leads,,9147,
MFL,2.LMTD,Fresh,Flow2(Manual),2,Workable leads,,1995,
NACL,2.LMTD,Fresh,Flow1(Auto),2,Workable leads,,12677,
NACL,2.LMTD,Fresh,Flow2(Manual),2,Workable leads,,3228,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),2,Workable leads,,92056,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),2,Workable leads,,16124,
PYFL,2.LMTD,Fresh,Flow1(Auto),2,Workable leads,,20547,
PYFL,2.LMTD,Fresh,Flow2(Manual),2,Workable leads,,6594,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),2,Workable leads,,29843,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),2,Workable leads,,6557,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),3,Bureau pull success,,91805,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),3,Bureau pull success,,29045,
KSF,2.LMTD,Fresh,Flow1(Auto),3,Bureau pull success,,44941,
KSF,2.LMTD,Fresh,Flow2(Manual),3,Bureau pull success,,13352,
MFL,2.LMTD,Fresh,Flow1(Auto),3,Bureau pull success,,8759,
MFL,2.LMTD,Fresh,Flow2(Manual),3,Bureau pull success,,1869,
NACL,2.LMTD,Fresh,Flow1(Auto),3,Bureau pull success,,12139,
NACL,2.LMTD,Fresh,Flow2(Manual),3,Bureau pull success,,3024,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),3,Bureau pull success,,88149,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),3,Bureau pull success,,15107,
PYFL,2.LMTD,Fresh,Flow1(Auto),3,Bureau pull success,,19675,
PYFL,2.LMTD,Fresh,Flow2(Manual),3,Bureau pull success,,6178,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),3,Bureau pull success,,28576,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),3,Bureau pull success,,6144,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),4,BRE1 completed,,59842,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),4,BRE1 completed,,17061,
KSF,2.LMTD,Fresh,Flow1(Auto),4,BRE1 completed,,29295,
KSF,2.LMTD,Fresh,Flow2(Manual),4,BRE1 completed,,7843,
MFL,2.LMTD,Fresh,Flow1(Auto),4,BRE1 completed,,5709,
MFL,2.LMTD,Fresh,Flow2(Manual),4,BRE1 completed,,1098,
NACL,2.LMTD,Fresh,Flow1(Auto),4,BRE1 completed,,7913,
NACL,2.LMTD,Fresh,Flow2(Manual),4,BRE1 completed,,1776,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),4,BRE1 completed,,57459,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),4,BRE1 completed,,8874,
PYFL,2.LMTD,Fresh,Flow1(Auto),4,BRE1 completed,,12825,
PYFL,2.LMTD,Fresh,Flow2(Manual),4,BRE1 completed,,3629,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),4,BRE1 completed,,18627,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),4,BRE1 completed,,3609,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,18759,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,12829,
KSF,2.LMTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,9183,
KSF,2.LMTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,5897,
MFL,2.LMTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,1790,
MFL,2.LMTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,825,
NACL,2.LMTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,2480,
NACL,2.LMTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,1336,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,18012,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,6673,
PYFL,2.LMTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,4020,
PYFL,2.LMTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,2729,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),5,Marketplace Offer Selected,,5839,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),5,Marketplace Offer Selected,,2714,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,14562,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,10781,
KSF,2.LMTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,8398,
KSF,2.LMTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,6567,
MFL,2.LMTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,4460,
MFL,2.LMTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,2415,
NACL,2.LMTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,2364,
NACL,2.LMTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,1332,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,20877,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,9360,
PYFL,2.LMTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,4965,
PYFL,2.LMTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,3461,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),6,Child_Lead_Created,,6463,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),6,Child_Lead_Created,,3085,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),7,Selfie uploaded,,11802,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),7,Selfie uploaded,,9381,
KSF,2.LMTD,Fresh,Flow1(Auto),7,Selfie uploaded,,7555,
KSF,2.LMTD,Fresh,Flow2(Manual),7,Selfie uploaded,,6004,
MFL,2.LMTD,Fresh,Flow1(Auto),7,Selfie uploaded,,3963,
MFL,2.LMTD,Fresh,Flow2(Manual),7,Selfie uploaded,,2211,
NACL,2.LMTD,Fresh,Flow1(Auto),7,Selfie uploaded,,2062,
NACL,2.LMTD,Fresh,Flow2(Manual),7,Selfie uploaded,,1194,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),7,Selfie uploaded,,6923,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),7,Selfie uploaded,,4464,
PYFL,2.LMTD,Fresh,Flow1(Auto),7,Selfie uploaded,,4013,
PYFL,2.LMTD,Fresh,Flow2(Manual),7,Selfie uploaded,,3015,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),7,Selfie uploaded,,5800,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),7,Selfie uploaded,,2818,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),8,KYC completed,,9758,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),8,KYC completed,,7871,
KSF,2.LMTD,Fresh,Flow1(Auto),8,KYC completed,,5105,
KSF,2.LMTD,Fresh,Flow2(Manual),8,KYC completed,,4436,
MFL,2.LMTD,Fresh,Flow1(Auto),8,KYC completed,,2810,
MFL,2.LMTD,Fresh,Flow2(Manual),8,KYC completed,,1580,
NACL,2.LMTD,Fresh,Flow1(Auto),8,KYC completed,,1592,
NACL,2.LMTD,Fresh,Flow2(Manual),8,KYC completed,,904,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),8,KYC completed,,4456,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),8,KYC completed,,2917,
PYFL,2.LMTD,Fresh,Flow1(Auto),8,KYC completed,,3850,
PYFL,2.LMTD,Fresh,Flow2(Manual),8,KYC completed,,2903,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),8,KYC completed,,3957,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),8,KYC completed,,1943,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),9,BRE2 completed,,7393,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),9,BRE2 completed,,6731,
KSF,2.LMTD,Fresh,Flow1(Auto),9,BRE2 completed,,3978,
KSF,2.LMTD,Fresh,Flow2(Manual),9,BRE2 completed,,3835,
MFL,2.LMTD,Fresh,Flow1(Auto),9,BRE2 completed,,1781,
MFL,2.LMTD,Fresh,Flow2(Manual),9,BRE2 completed,,1176,
NACL,2.LMTD,Fresh,Flow1(Auto),9,BRE2 completed,,1114,
NACL,2.LMTD,Fresh,Flow2(Manual),9,BRE2 completed,,714,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),9,BRE2 completed,,2595,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),9,BRE2 completed,,2034,
PYFL,2.LMTD,Fresh,Flow1(Auto),9,BRE2 completed,,2178,
PYFL,2.LMTD,Fresh,Flow2(Manual),9,BRE2 completed,,1942,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),9,BRE2 completed,,3221,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),9,BRE2 completed,,1662,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,7301,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,6642,
KSF,2.LMTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,3920,
KSF,2.LMTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,3779,
MFL,2.LMTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,1766,
MFL,2.LMTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,1163,
NACL,2.LMTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,1091,
NACL,2.LMTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,700,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,2569,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,2018,
PYFL,2.LMTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,2163,
PYFL,2.LMTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,1922,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),10,Disbursal acc verified,,3195,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),10,Disbursal acc verified,,1644,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),11,Review submit,,6670,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),11,Review submit,,6196,
KSF,2.LMTD,Fresh,Flow1(Auto),11,Review submit,,3713,
KSF,2.LMTD,Fresh,Flow2(Manual),11,Review submit,,3605,
MFL,2.LMTD,Fresh,Flow1(Auto),11,Review submit,,1687,
MFL,2.LMTD,Fresh,Flow2(Manual),11,Review submit,,1117,
NACL,2.LMTD,Fresh,Flow1(Auto),11,Review submit,,1015,
NACL,2.LMTD,Fresh,Flow2(Manual),11,Review submit,,644,
PIRAMAL,2.LMTD,Fresh,Flow1(Auto),11,Review submit,,2386,
PIRAMAL,2.LMTD,Fresh,Flow2(Manual),11,Review submit,,1917,
PYFL,2.LMTD,Fresh,Flow1(Auto),11,Review submit,,1981,
PYFL,2.LMTD,Fresh,Flow2(Manual),11,Review submit,,1800,
SHRIRAM,2.LMTD,Fresh,Flow1(Auto),11,Review submit,,2998,
SHRIRAM,2.LMTD,Fresh,Flow2(Manual),11,Review submit,,1572,
FULLERTON,2.LMTD,Fresh,Flow1(Auto),12,Mandate done,,6048,
FULLERTON,2.LMTD,Fresh,Flow2(Manual),12,Mandate done,,5477,
