lender,month_start,product_type,isautoleadcreated,major_index,original_major_stage,sub_stage,Leads,Stuck%
,1.MTD,Fresh,,2,Workable leads,PAN_DEDUPE_FAILED,5067,
MFL,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_APPROVAL_AWAITED,3,
PIRAMAL,1.MTD,Fresh,,8,KYC completed,BRE2_FAILURE,33,
FULLERTON,1.MTD,Fresh,,11,Review submit,EMANDATE_REQUIRED,1020,
PYFL,1.MTD,Fresh,,6,Child Lead Created,SERVICIBILITY_CHECK,1,
SHRIRAM,1.MTD,Fresh,,11,Review submit,EMANDATE_REQUIRED,327,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,PAN_QC_DOC_RE_UPLOAD_REQUIRED,2,
KSF,1.MTD,Fresh,,6,Child Lead Created,FETCH_SETTLEMENT_ACCOUNT,2,
FULLERTON,1.MTD,Fresh,,12,Mandate done,PAN_QC_DOC_UPLOAD_REQUIRED,3,
FULLERTON_BUREAU,1.MTD,Fresh,,8,KYC completed,SERVICEABILITY_REJECTED,35,
KSF,1.MTD,Fresh,,7,Selfie uploaded,KYC_REJECTED,88,
MFL,1.MTD,Fresh,,14,Submit to LMS,LMS_SUBMIT_APPLICATION_SUCCESS,8,
PIRAMAL AA,1.MTD,Fresh,,13,Application submitted by user,LOAN_DISBURSEMENT_COMPLETED,887,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,QC_REJECTED,17,
SHRIRAM,1.MTD,Fresh,,7,Selfie uploaded,KYC_INITIATED,2,
,1.MTD,Fresh,,2,Workable leads,LEAD_CREATE,3,
TCL,1.MTD,Fresh,,13,Application submitted by user,FI_REJECTED,3,
PYFL,1.MTD,Fresh,,14,Submit to LMS,LOAN_DISBURSEMENT_INITIATED,226,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,PAN_DEDUPE_FAILED,1,
FULLERTON_BUREAU,1.MTD,Fresh,,14,Submit to LMS,LMS_SUBMIT_APPLICATION_SUCCESS,7,
MFL,1.MTD,Fresh,,7,Selfie uploaded,KYC_FAILED,42,
PIRAMAL AA,1.MTD,Fresh,,10,Disbursal acc verified,ESIGN_INITIATE,94,
FULLERTON_BUREAU,1.MTD,Fresh,,6,Child_Lead_Created,EMAIL_VERIFICATION_REQUIRED_V2,1,
KSF,1.MTD,Fresh,,14,Submit to LMS,LOAN_DISBURSEMENT_INITIATED,37,
PYFL,1.MTD,Fresh,,7,Selfie uploaded,LENDER_APP_CREATE_FAILED,25,
SHRIRAM,1.MTD,Fresh,,7,Selfie uploaded,KYC_SELFIE_REUPLOAD_REQUIRED,4,
MFL,1.MTD,Fresh,,9,BRE2 completed,BANK_VERIFICATION_FAILURE,1,
PYFL,1.MTD,Fresh,,8,KYC completed,LENDER_BRE_REJECTED,1956,
PIRAMAL AA,1.MTD,Fresh,,11,Review submit,LENDER_DOC_UPLOAD_IN_PROGRESS_FI_REPORT,9,
FULLERTON_BUREAU,1.MTD,Fresh,,9,BRE2 completed,BANK_VALIDATION_PENDING,7,
PIRAMAL AA,1.MTD,Fresh,,8,KYC completed,AA_REPORT_RECEIVED,9,
PIRAMAL AA,1.MTD,Fresh,,9,BRE2 completed,SETTLEMENT_BANK_UPDATE_REQUIRED,39,
FULLERTON_BUREAU,1.MTD,Fresh,,11,Review submit,EMANDATE_REQUIRED,56,
FULLERTON_BUREAU,1.MTD,Fresh,,13,Application submitted by user,LENDER_DOCUMENT_UPLOAD_FAILURE,1,
PIRAMAL AA,1.MTD,Fresh,,6,Child Lead Created,SELFIE_RE_UPLOAD,84,
PYFL,1.MTD,Fresh,,13,Application submitted by user,QC_ACTION_PENDING,79,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,LIS_DATA_UPDATE_FAILED,5,
MFL,1.MTD,Fresh,,10,Disbursal acc verified,SECURED_OFFER_DISPLAYED,11,
TCL,1.MTD,Fresh,,7,Selfie uploaded,KYC_REJECTED,34,
FULLERTON,1.MTD,Fresh,,12,Mandate done,MOB_TO_UDYAM_NOT_FOUND_V2,1,
PIRAMAL AA,1.MTD,Fresh,,8,KYC completed,AA_CONSENT_RECEIVED,9,
FULLERTON_BUREAU,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_APPROVAL_AWAITED,6,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,LOAN_QC_REJECTED,349,
PIRAMAL,1.MTD,Fresh,,14,Submit to LMS,LMS_CALLBACK_REJECTED,20,
KSF,1.MTD,Fresh,,14,Submit to LMS,LMS_LAN_CREATE_INITIATE,9,
SHRIRAM,1.MTD,Fresh,,8,KYC completed,BRE2_FAILURE,262,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,LOAN_APPLICATION_REJECTED,381,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,LOAN_APPLICATION_ON_HOLD,8,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_APPROVAL_AWAITED,314,
KSF,1.MTD,Fresh,,8,KYC completed,LENDER_BRE_REJECTED,907,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,LIS_SUBMIT_SUCCESS,4,
KSF,1.MTD,Fresh,,12,Mandate done,AUDITOR_REJECTED,3,
PYFL,1.MTD,Fresh,,13,Application submitted by user,INITIATE_DISBURSAL_ACCOUNT_NAME_MATCH_QC_DOC_REUPLOAD,2,
SHRIRAM,1.MTD,Fresh,,7,Selfie uploaded,KYC_FAILED,169,
SHRIRAM,1.MTD,Fresh,,12,Mandate done,BANK_QC_DOC_UPLOAD_REQUIRED,4,
PIRAMAL,1.MTD,Fresh,,13,Application submitted by user,LOAN_APPLICATION_REJECTED,62,
FULLERTON,1.MTD,Fresh,,2,Workable leads,PAN_DEDUPE_FAILED,1,
TCL,1.MTD,Fresh,,6,Child Lead Created,LENDER_LEAD_UPDATE_UPDATE_PRE_KYC_DETAILS,6,
FULLERTON_BUREAU,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_DOC_UPLOADED,1,
PYFL,1.MTD,Fresh,,9,BRE2 completed,LENDER_BANK_SHARING_INITIATED,4,
NACL,1.MTD,Fresh,,13,Application submitted by user,SETTLEMENT_BANK_QC_DOC_RE_UPLOAD_REQUIRED,2,
NACL,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_REQUIRED,13,
PIRAMAL AA,1.MTD,Fresh,,8,KYC completed,AA_REQUIRED,2688,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,QC_ACTION_PENDING,28,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,SETTLEMENT_BANK_QC_DOC_RE_UPLOAD_REQUIRED,7,
TCL,1.MTD,Fresh,,6,Child Lead Created,LENDER_PAN_VERIFICATION_FAILED,2,
FULLERTON_BUREAU,1.MTD,Fresh,,14,Submit to LMS,LMS_CALLBACK_REJECTED,12,
MFL,1.MTD,Fresh,,9,BRE2 completed,BANK_VALIDATION_PENDING,1,
PIRAMAL AA,1.MTD,Fresh,,8,KYC completed,LENDER_BRE2_INIT_OFFER_PENDING,66,
KSF,1.MTD,Fresh,,7,Selfie uploaded,KYC_INITIATED_DIGILOCKER,47,
,1.MTD,Fresh,,3,Bureau pull success,BRE1_INITIATE,41,
PYFL,1.MTD,Fresh,,10,Disbursal acc verified,AWAIT_OFFER_ACCEPT,386,
PIRAMAL,1.MTD,Fresh,,6,Child_Lead_Created,KYC_SELFIE_REQUIRED,1108,
NACL,1.MTD,Fresh,,12,Mandate done,UC_REQUIRED,3,
FULLERTON_BUREAU,1.MTD,Fresh,,13,Application submitted by user,LOAN_APPLICATION_REJECTED,4,
PYFL,1.MTD,Fresh,,13,Application submitted by user,QC_CHECK,3,
NACL,1.MTD,Fresh,,8,KYC completed,KYC_COMPLETED,1,
KSF,1.MTD,Fresh,,6,Child Lead Created,BANK_NAME_MATCH_FAILED,13,
MFL,1.MTD,Fresh,,8,KYC completed,BRE2_FAILURE,36,
TCL,1.MTD,Fresh,,6,Child Lead Created,LENDER_PAN_AADHAR_LINKAGE_FAILED,175,
NACL,1.MTD,Fresh,,9,BRE2 completed,BANK_VALIDATION_PENDING,16,
MFL,1.MTD,Fresh,,6,Child_Lead_Created,KYC_SELFIE_REQUIRED,53,
,1.MTD,Fresh,,5,Marketplace Offer Selected,LRE_RESET_MARKETPLACE_INPUT_REQUIRED,2736,
MFL,1.MTD,Fresh,,11,Review submit,EMANDATE_REQUIRED_V2,13,
FULLERTON,1.MTD,Fresh,,14,Submit to LMS,LMS_SUBMIT_APPLICATION_SUCCESS,303,
MFL,1.MTD,Fresh,,7,Selfie uploaded,KYC_SELFIE_UPLOADED,5,
PYFL,1.MTD,Fresh,,14,Submit to LMS,LMS_LAN_CREATE_INITIATE,4,
MFL,1.MTD,Fresh,,12,Mandate done,MAQUETTE_FRAUD_CHECK_FAILURE,4,
PIRAMAL,1.MTD,Fresh,,14,Submit to LMS,LMS_SUBMIT_APPLICATION_SUCCESS,72,
FULLERTON,1.MTD,Fresh,,8,KYC completed,BRE2_REQUESTED,15,
NACL,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_DOC_UPLOADED,9,
NACL,1.MTD,Fresh,,8,KYC completed,SERVICEABILITY_ACCEPTED,1,
MFL,1.MTD,Fresh,,13,Application submitted by user,LENDER_UPDATE_APPLICATION_FAILURE,10,
NACL,1.MTD,Fresh,,10,Disbursal acc verified,LOAN_AGREEMENT_PENDING,95,
NACL,1.MTD,Fresh,,11,Review submit,EMANDATE_REQUIRED,119,
FULLERTON_BUREAU,1.MTD,Fresh,,7,Selfie uploaded,KYC_FAILED,122,
SHRIRAM,1.MTD,Fresh,,15,Disbursed,BUSINESS_PROOF_QC_ACTION_PENDING,133,
MFL,1.MTD,Fresh,,15,Disbursed,BUSINESS_PROOF_QC_ACTION_PENDING,13,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,PANEL_SUCCESS,1,
SHRIRAM,1.MTD,Fresh,,9,BRE2 completed,SETTLEMENT_BANK_DETAILS_FETCHED,2,
MFL,1.MTD,Fresh,,7,Selfie uploaded,KYC_SELFIE_REUPLOAD_REQUIRED,1,
KSF,1.MTD,Fresh,,10,Disbursal acc verified,AWAIT_OFFER_ACCEPT,461,
KSF,1.MTD,Fresh,,15,Disbursed,LOAN_DISBURSEMENT_COMPLETED,3873,
PIRAMAL,1.MTD,Fresh,,9,BRE2 completed,MAQUETTE_FRAUD_CHECK_FAILURE,51,
PYFL,1.MTD,Fresh,,7,Selfie uploaded,KYC_INITIATED_DIGILOCKER,229,
FULLERTON,1.MTD,Fresh,,15,Disbursed,BUSINESS_PROOF_QC_ACTION_PENDING,326,
SHRIRAM,1.MTD,Fresh,,9,BRE2 completed,BANK_VALIDATION_PENDING,37,
NACL,1.MTD,Fresh,,10,Disbursal acc verified,BUSINESS_PROOF_VERIFICATION_REQUIRED,1,
PIRAMAL,1.MTD,Fresh,,13,Application submitted by user,QC_REJECTED,5,
KSF,1.MTD,Fresh,,13,Application submitted by user,FI_AWAITED,49,
MFL,1.MTD,Fresh,,7,Selfie uploaded,INITIATE_KYC,1,
NACL,1.MTD,Fresh,,13,Application submitted by user,LOAN_APPLICATION_REJECTED,24,
NACL,1.MTD,Fresh,,8,KYC completed,BRE2_REQUESTED,1,
KSF,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_DOC_UPLOADED,44,
NACL,1.MTD,Fresh,,13,Application submitted by user,UC_IN_PROGRESS,72,
PIRAMAL AA,1.MTD,Fresh,,7,Selfie uploaded,KYC_FAILED,3583,
FULLERTON_BUREAU,1.MTD,Fresh,,10,Disbursal acc verified,BANKING_ACTION_DONE,67,
NACL,1.MTD,Fresh,,12,Mandate done,BUSINESS_PROOF_DOCUMENT_REQUIRED,1,
FULLERTON,1.MTD,Fresh,,7,Selfie uploaded,KYC_SELFIE_REUPLOAD_REQUIRED,97,
TCL,1.MTD,Fresh,,13,Application submitted by user,LENDER_MVR_UPLOAD_INIT,14,
KSF,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_REQUIRED,41,
NACL,1.MTD,Fresh,,7,Selfie uploaded,KYC_SELFIE_REUPLOAD_REQUIRED,5,
PIRAMAL,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_APPROVAL_AWAITED,43,
MFL,1.MTD,Fresh,,13,Application submitted by user,LOAN_QC_REJECTED,5,
TCL,1.MTD,Fresh,,8,KYC completed,KYC_PINCODE_NOT_SERVICEABLE,22,
PIRAMAL,1.MTD,Fresh,,9,BRE2 completed,FETCH_SETTLEMENT_BANK_ACCOUNT,1,
PYFL,1.MTD,Fresh,,14,Submit to LMS,LOAN_DISBURSEMENT_FAILURE,1,
PIRAMAL AA,1.MTD,Fresh,,8,KYC completed,LENDER_BRE2_INIT,13,
NACL,1.MTD,Fresh,,12,Mandate done,BANK_QC_DOC_UPLOAD_REQUIRED,1,
MFL,1.MTD,Fresh,,13,Application submitted by user,LENDER_UPDATE_APPLICATION_INITIATED,1,
NACL,1.MTD,Fresh,,13,Application submitted by user,PREDISBURSAL_FAILED,1,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,LOAN_QC_REJECTED,154,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_REQUIRED,72,
PYFL,1.MTD,Fresh,,13,Application submitted by user,LENDER_DOC_UPLOAD_IN_PROGRESS_KFS_LETTER,1,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_DOC_UPLOADED,41,
SHRIRAM,1.MTD,Fresh,,10,Disbursal acc verified,BANKING_ACTION_DONE,169,
TCL,1.MTD,Fresh,,8,KYC completed,LENDER_LEAD_UPDATE_UPDATE_POST_KYC_DETAILS,13,
FULLERTON,1.MTD,Fresh,,8,KYC completed,BRE2_FAILURE,67,
NACL,1.MTD,Fresh,,13,Application submitted by user,LENDER_GMV_SHARING_FAILED,1,
SHRIRAM,1.MTD,Fresh,,7,Selfie uploaded,LENDER_CREATE_APPLICATION_SUCCESS,694,
,1.MTD,Fresh,,2,Workable leads,BUREAU_OTP_REQUIRED_WITH_SKIP_OTP,8,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,QC_ACTION_PENDING,17,
KSF,1.MTD,Fresh,,11,Review submit,EMANDATE_REQUIRED,878,
PIRAMAL,1.MTD,Fresh,,12,Mandate done,BANK_QC_DOC_UPLOAD_REQUIRED,3,
SHRIRAM,1.MTD,Fresh,,14,Submit to LMS,LMS_CALLBACK_REJECTED,41,
NACL,1.MTD,Fresh,,12,Mandate done,SETTLEMENT_BANK_VALIDATION_REQUIRED_V2,1,
PIRAMAL,1.MTD,Fresh,,13,Application submitted by user,QC_ACTION_PENDING,11,
MFL,1.MTD,Fresh,,13,Application submitted by user,LOAN_APPLICATION_REJECTED,11,
FULLERTON_BUREAU,1.MTD,Fresh,,13,Application submitted by user,DIY_FI_REQUIRED,4,
SHRIRAM,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_APPROVAL_NOT_REQUIRED,1,
PIRAMAL,1.MTD,Fresh,,8,KYC completed,LAS_KYC_AUDIT_FAILURE,4,
KSF,1.MTD,Fresh,,12,Mandate done,LENDER_BANK_DETAILS_SHARING_INITIATED,6,
FULLERTON,1.MTD,Fresh,,7,Selfie uploaded,KYC_FAILED,1466,
FULLERTON_BUREAU,1.MTD,Fresh,,9,BRE2 completed,BANK_VERIFICATION_FAILURE,2,
FULLERTON_BUREAU,1.MTD,Fresh,,13,Application submitted by user,BUSINESS_APPROVAL_NOT_REQUIRED,1,
NACL,1.MTD,Fresh,,6,Child_Lead_Created,KYC_SELFIE_REQUIRED,621,
FULLERTON,1.MTD,Fresh,,7,Selfie uploaded,KYC_SELFIE_UPLOADED,241,
KSF,1.MTD,Fresh,,6,Child Lead Created,AWAIT_SELFIE,2941,
NACL,1.MTD,Fresh,,7,Selfie uploaded,INITIATE_LENDER_CREATE_APPLICATION,1,
PYFL,1.MTD,Fresh,,9,BRE2 completed,ADD_BANK,65,
PYFL,1.MTD,Fresh,,7,Selfie uploaded,KYC_INITIATED_OFFLINE_AADHAAR,46,
,1.MTD,Fresh,,5,Marketplace Offer Selected,BUREAU_PROGRAM_TYPE,266,
FULLERTON,1.MTD,Fresh,,13,Application submitted by user,LMS_SUBMIT_APPLICATION_FAILED,6,
PYFL,1.MTD,Fresh,,15,Disbursed,LOAN_DISBURSEMENT_COMPLETED,2556,
